Series_Title,Genre,Director,Star1,Star2,Star3,Star4
Rosemary's Baby,"Drama, Horror",Roman Polanski,Mia Farrow,John Cassavetes,Ruth Gordon,Sidney Blackmer
Planet of the Apes,"Adventure, Sci-Fi",Franklin J. Schaffner,Charlton Heston,Roddy McDowall,Kim Hunter,Maurice Evans
The Graduate,"Comedy, Drama, Romance",Mike Nichols,Dustin Hoffman,Anne Bancroft,Katharine Ross,William Daniels
Who's Afraid of Virginia Woolf?,Drama,Mike Nichols,Elizabeth Taylor,Richard Burton,George Segal,Sandy Dennis
The Sound of Music,"Biography, Drama, Family",Robert Wise,Julie Andrews,Christopher Plummer,Eleanor Parker,Richard Haydn
Doctor Zhivago,"Drama, Romance, War",David Lean,Omar Sharif,Julie Christie,Geraldine Chaplin,Rod Steiger
Per un pugno di dollari,"Action, Drama, Western",Sergio Leone,Clint Eastwood,Gian Maria Volontè,Marianne Koch,Wolfgang Lukschy
8½,Drama,Federico Fellini,Marcello Mastroianni,Anouk Aimée,Claudia Cardinale,Sandra Milo
Vivre sa vie: Film en douze tableaux,Drama,Jean-Luc Godard,Anna Karina,Sady Rebbot,André S. Labarthe,Guylaine Schlumberger
The Hustler,"Drama, Sport",Robert Rossen,Paul Newman,Jackie Gleason,Piper Laurie,George C. Scott
La dolce vita,"Comedy, Drama",Federico Fellini,Marcello Mastroianni,Anita Ekberg,Anouk Aimée,Yvonne Furneaux
Rio Bravo,"Action, Drama, Western",Howard Hawks,John Wayne,Dean Martin,Ricky Nelson,Angie Dickinson
Anatomy of a Murder,"Crime, Drama, Mystery",Otto Preminger,James Stewart,Lee Remick,Ben Gazzara,Arthur O'Connell
Touch of Evil,"Crime, Drama, Film-Noir",Orson Welles,Charlton Heston,Orson Welles,Janet Leigh,Joseph Calleia
Cat on a Hot Tin Roof,Drama,Richard Brooks,Elizabeth Taylor,Paul Newman,Burl Ives,Jack Carson
Sweet Smell of Success,"Drama, Film-Noir",Alexander Mackendrick,Burt Lancaster,Tony Curtis,Susan Harrison,Martin Milner
The Killing,"Crime, Drama, Film-Noir",Stanley Kubrick,Sterling Hayden,Coleen Gray,Vince Edwards,Jay C. Flippen
The Night of the Hunter,"Crime, Drama, Film-Noir",Charles Laughton,Robert Mitchum,Shelley Winters,Lillian Gish,James Gleason
La Strada,Drama,Federico Fellini,Anthony Quinn,Giulietta Masina,Richard Basehart,Aldo Silvani
Les diaboliques,"Crime, Drama, Horror",Henri-Georges Clouzot,Simone Signoret,Véra Clouzot,Paul Meurisse,Charles Vanel
Stalag 17,"Comedy, Drama, War",Billy Wilder,William Holden,Don Taylor,Otto Preminger,Robert Strauss
Roman Holiday,"Comedy, Romance",William Wyler,Gregory Peck,Audrey Hepburn,Eddie Albert,Hartley Power
A Streetcar Named Desire,Drama,Elia Kazan,Vivien Leigh,Marlon Brando,Kim Hunter,Karl Malden
In a Lonely Place,"Drama, Film-Noir, Mystery",Nicholas Ray,Humphrey Bogart,Gloria Grahame,Frank Lovejoy,Carl Benton Reid
Kind Hearts and Coronets,"Comedy, Crime",Robert Hamer,Dennis Price,Alec Guinness,Valerie Hobson,Joan Greenwood
Rope,"Crime, Drama, Mystery",Alfred Hitchcock,James Stewart,John Dall,Farley Granger,Dick Hogan
Out of the Past,"Crime, Drama, Film-Noir",Jacques Tourneur,Robert Mitchum,Jane Greer,Kirk Douglas,Rhonda Fleming
Brief Encounter,"Drama, Romance",David Lean,Celia Johnson,Trevor Howard,Stanley Holloway,Joyce Carey
Laura,"Drama, Film-Noir, Mystery",Otto Preminger,Gene Tierney,Dana Andrews,Clifton Webb,Vincent Price
The Best Years of Our Lives,"Drama, Romance, War",William Wyler,Myrna Loy,Dana Andrews,Fredric March,Teresa Wright
Arsenic and Old Lace,"Comedy, Crime, Thriller",Frank Capra,Cary Grant,Priscilla Lane,Raymond Massey,Jack Carson
The Maltese Falcon,"Film-Noir, Mystery",John Huston,Humphrey Bogart,Mary Astor,Gladys George,Peter Lorre
The Grapes of Wrath,"Drama, History",John Ford,Henry Fonda,Jane Darwell,John Carradine,Charley Grapewin
The Wizard of Oz,"Adventure, Family, Fantasy",Victor Fleming,George Cukor,Mervyn LeRoy,Norman Taurog,Richard Thorpe
La règle du jeu,"Comedy, Drama",Jean Renoir,Marcel Dalio,Nora Gregor,Paulette Dubost,Mila Parély
The Thin Man,"Comedy, Crime, Mystery",W.S. Van Dyke,William Powell,Myrna Loy,Maureen O'Sullivan,Nat Pendleton
All Quiet on the Western Front,"Drama, War",Lewis Milestone,Lew Ayres,Louis Wolheim,John Wray,Arnold Lucy
Bronenosets Potemkin,"Drama, History, Thriller",Sergei M. Eisenstein,Aleksandr Antonov,Vladimir Barskiy,Grigoriy Aleksandrov,Ivan Bobrov
Knives Out,"Comedy, Crime, Drama",Rian Johnson,Daniel Craig,Chris Evans,Ana de Armas,Jamie Lee Curtis
Dil Bechara,"Comedy, Drama, Romance",Mukesh Chhabra,Sushant Singh Rajput,Sanjana Sanghi,Sahil Vaid,Saswata Chatterjee
Manbiki kazoku,"Crime, Drama",Hirokazu Koreeda,Lily Franky,Sakura Andô,Kirin Kiki,Mayu Matsuoka
Marriage Story,"Comedy, Drama, Romance",Noah Baumbach,Adam Driver,Scarlett Johansson,Julia Greer,Azhy Robertson
Call Me by Your Name,"Drama, Romance",Luca Guadagnino,Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,Amira Casar
"I, Daniel Blake",Drama,Ken Loach,Laura Obiols,Dave Johns,Hayley Squires,Sharon Percy
Isle of Dogs,"Animation, Adventure, Comedy",Wes Anderson,Bryan Cranston,Koyu Rankin,Edward Norton,Bob Balaban
Hunt for the Wilderpeople,"Adventure, Comedy, Drama",Taika Waititi,Sam Neill,Julian Dennison,Rima Te Wiata,Rachel House
Captain Fantastic,"Comedy, Drama",Matt Ross,Viggo Mortensen,George MacKay,Samantha Isler,Annalise Basso
Sing Street,"Comedy, Drama, Music",John Carney,Ferdia Walsh-Peelo,Aidan Gillen,Maria Doyle Kennedy,Jack Reynor
Thor: Ragnarok,"Action, Adventure, Comedy",Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Mark Ruffalo
Nightcrawler,"Crime, Drama, Thriller",Dan Gilroy,Jake Gyllenhaal,Rene Russo,Bill Paxton,Riz Ahmed
Jojo Rabbit,"Comedy, Drama, War",Taika Waititi,Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson,Taika Waititi
Arrival,"Drama, Sci-Fi",Denis Villeneuve,Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg
Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",J.J. Abrams,Daisy Ridley,John Boyega,Oscar Isaac,Domhnall Gleeson
Before Midnight,"Drama, Romance",Richard Linklater,Ethan Hawke,Julie Delpy,Seamus Davey-Fitzpatrick,Ariane Labed
X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",Bryan Singer,Patrick Stewart,Ian McKellen,Hugh Jackman,James McAvoy
Bir Zamanlar Anadolu'da,"Crime, Drama",Nuri Bilge Ceylan,Muhammet Uzuner,Yilmaz Erdogan,Taner Birsel,Ahmet Mümtaz Taylan
The Artist,"Comedy, Drama, Romance",Michel Hazanavicius,Jean Dujardin,Bérénice Bejo,John Goodman,James Cromwell
Edge of Tomorrow,"Action, Adventure, Sci-Fi",Doug Liman,Tom Cruise,Emily Blunt,Bill Paxton,Brendan Gleeson
Amour,"Drama, Romance",Michael Haneke,Jean-Louis Trintignant,Emmanuelle Riva,Isabelle Huppert,Alexandre Tharaud
The Irishman,"Biography, Crime, Drama",Martin Scorsese,Robert De Niro,Al Pacino,Joe Pesci,Harvey Keitel
Un prophète,"Crime, Drama",Jacques Audiard,Tahar Rahim,Niels Arestrup,Adel Bencherif,Reda Kateb
Moon,"Drama, Mystery, Sci-Fi",Duncan Jones,Sam Rockwell,Kevin Spacey,Dominique McElligott,Rosie Shaw
Låt den rätte komma in,"Crime, Drama, Fantasy",Tomas Alfredson,Kåre Hedebrant,Lina Leandersson,Per Ragnar,Henrik Dahl
District 9,"Action, Sci-Fi, Thriller",Neill Blomkamp,Sharlto Copley,David James,Jason Cope,Nathalie Boltt
The Wrestler,"Drama, Sport",Darren Aronofsky,Mickey Rourke,Marisa Tomei,Evan Rachel Wood,Mark Margolis
Jab We Met,"Comedy, Drama, Romance",Imtiaz Ali,Shahid Kapoor,Kareena Kapoor,Tarun Arora,Dara Singh
Boyhood,Drama,Richard Linklater,Ellar Coltrane,Patricia Arquette,Ethan Hawke,Elijah Smith
"4 luni, 3 saptamâni si 2 zile",Drama,Cristian Mungiu,Anamaria Marinca,Laura Vasiliu,Vlad Ivanov,Alexandru Potocean
Star Trek,"Action, Adventure, Sci-Fi",J.J. Abrams,Chris Pine,Zachary Quinto,Simon Pegg,Leonard Nimoy
In Bruges,"Comedy, Crime, Drama",Martin McDonagh,Colin Farrell,Brendan Gleeson,Ciarán Hinds,Elizabeth Berrington
The Man from Earth,"Drama, Fantasy, Mystery",Richard Schenkman,David Lee Smith,Tony Todd,John Billingsley,Ellen Crawford
Letters from Iwo Jima,"Action, Adventure, Drama",Clint Eastwood,Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Ryô Kase
The Fall,"Adventure, Drama, Fantasy",Tarsem Singh,Lee Pace,Catinca Untaru,Justine Waddell,Kim Uylenbroek
Life of Pi,"Adventure, Drama, Fantasy",Ang Lee,Suraj Sharma,Irrfan Khan,Adil Hussain,Tabu
Fantastic Mr. Fox,"Animation, Adventure, Comedy",Wes Anderson,George Clooney,Meryl Streep,Bill Murray,Jason Schwartzman
C.R.A.Z.Y.,"Comedy, Drama",Jean-Marc Vallée,Michel Côté,Marc-André Grondin,Danielle Proulx,Émile Vallée
Les choristes,"Drama, Music",Christophe Barratier,Gérard Jugnot,François Berléand,Jean-Baptiste Maunier,Kad Merad
Iron Man,"Action, Adventure, Sci-Fi",Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges
Shaun of the Dead,"Comedy, Horror",Edgar Wright,Simon Pegg,Nick Frost,Kate Ashfield,Lucy Davis
Gegen die Wand,"Drama, Romance",Fatih Akin,Birol Ünel,Sibel Kekilli,Güven Kiraç,Zarah Jane McKenzie
Mystic River,"Crime, Drama, Mystery",Clint Eastwood,Sean Penn,Tim Robbins,Kevin Bacon,Emmy Rossum
Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy",Alfonso Cuarón,Daniel Radcliffe,Emma Watson,Rupert Grint,Richard Griffiths
Ying xiong,"Action, Adventure, History",Yimou Zhang,Jet Li,Tony Chiu-Wai Leung,Maggie Cheung,Ziyi Zhang
Hable con ella,"Drama, Mystery, Romance",Pedro Almodóvar,Rosario Flores,Javier Cámara,Darío Grandinetti,Leonor Watling
No Man's Land,"Comedy, Drama, War",Danis Tanovic,Branko Djuric,Rene Bitorajac,Filip Sovagovic,Georges Siatidis
Cowboy Bebop: Tengoku no tobira,"Animation, Action, Crime",Shin'ichirô Watanabe,Tensai Okamura,Hiroyuki Okiura,Yoshiyuki Takei,Beau Billingslea
The Bourne Identity,"Action, Mystery, Thriller",Doug Liman,Franka Potente,Matt Damon,Chris Cooper,Clive Owen
Nueve reinas,"Crime, Drama, Thriller",Fabián Bielinsky,Ricardo Darín,Gastón Pauls,Graciela Tenenbaum,María Mercedes Villagra
Children of Men,"Adventure, Drama, Sci-Fi",Alfonso Cuarón,Julianne Moore,Clive Owen,Chiwetel Ejiofor,Michael Caine
Almost Famous,"Adventure, Comedy, Drama",Cameron Crowe,Billy Crudup,Patrick Fugit,Kate Hudson,Frances McDormand
Mulholland Dr.,"Drama, Mystery, Thriller",David Lynch,Naomi Watts,Laura Harring,Justin Theroux,Jeanne Bates
Toy Story 2,"Animation, Adventure, Comedy",John Lasseter,Ash Brannon,Lee Unkrich,Tom Hanks,Tim Allen
Boogie Nights,Drama,Paul Thomas Anderson,Mark Wahlberg,Julianne Moore,Burt Reynolds,Luis Guzmán
Mimi wo sumaseba,"Animation, Drama, Family",Yoshifumi Kondô,Yoko Honna,Issey Takahashi,Takashi Tachibana,Shigeru Muroi
Once Were Warriors,"Crime, Drama",Lee Tamahori,Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Julian Arahanga
True Romance,"Crime, Drama, Romance",Tony Scott,Christian Slater,Patricia Arquette,Dennis Hopper,Val Kilmer
Trois couleurs: Bleu,"Drama, Music, Mystery",Krzysztof Kieslowski,Juliette Binoche,Zbigniew Zamachowski,Julie Delpy,Benoît Régent
Jûbê ninpûchô,"Animation, Action, Adventure",Yoshiaki Kawajiri,Kôichi Yamadera,Emi Shinohara,Takeshi Aono,Osamu Saka
Carlito's Way,"Crime, Drama, Thriller",Brian De Palma,Al Pacino,Sean Penn,Penelope Ann Miller,John Leguizamo
Edward Scissorhands,"Drama, Fantasy, Romance",Tim Burton,Johnny Depp,Winona Ryder,Dianne Wiest,Anthony Michael Hall
My Left Foot: The Story of Christy Brown,"Biography, Drama",Jim Sheridan,Daniel Day-Lewis,Brenda Fricker,Alison Whelan,Kirsten Sheridan
Crimes and Misdemeanors,"Comedy, Drama",Woody Allen,Martin Landau,Woody Allen,Bill Bernstein,Claire Bloom
The Untouchables,"Crime, Drama, Thriller",Brian De Palma,Kevin Costner,Sean Connery,Robert De Niro,Charles Martin Smith
Hannah and Her Sisters,"Comedy, Drama",Woody Allen,Mia Farrow,Dianne Wiest,Michael Caine,Barbara Hershey
Brazil,"Drama, Sci-Fi",Terry Gilliam,Jonathan Pryce,Kim Greist,Robert De Niro,Katherine Helmond
This Is Spinal Tap,"Comedy, Music",Rob Reiner,Rob Reiner,Michael McKean,Christopher Guest,Kimberly Stringer
A Christmas Story,"Comedy, Family",Bob Clark,Peter Billingsley,Melinda Dillon,Darren McGavin,Scott Schwartz
The Blues Brothers,"Action, Adventure, Comedy",John Landis,John Belushi,Dan Aykroyd,Cab Calloway,John Candy
Manhattan,"Comedy, Drama, Romance",Woody Allen,Woody Allen,Diane Keaton,Mariel Hemingway,Michael Murphy
All That Jazz,"Drama, Music, Musical",Bob Fosse,Roy Scheider,Jessica Lange,Ann Reinking,Leland Palmer
Dawn of the Dead,"Action, Adventure, Horror",George A. Romero,David Emge,Ken Foree,Scott H. Reiniger,Gaylen Ross
All the President's Men,"Biography, Drama, History",Alan J. Pakula,Dustin Hoffman,Robert Redford,Jack Warden,Martin Balsam
La montaña sagrada,"Adventure, Drama, Fantasy",Alejandro Jodorowsky,Alejandro Jodorowsky,Horacio Salinas,Zamira Saunders,Juan Ferrara
Amarcord,"Comedy, Drama, Family",Federico Fellini,Magali Noël,Bruno Zanin,Pupella Maggio,Armando Brancia
Le charme discret de la bourgeoisie,Comedy,Luis Buñuel,Fernando Rey,Delphine Seyrig,Paul Frankeur,Bulle Ogier
"Aguirre, der Zorn Gottes","Action, Adventure, Biography",Werner Herzog,Klaus Kinski,Ruy Guerra,Helena Rojo,Del Negro
Harold and Maude,"Comedy, Drama, Romance",Hal Ashby,Ruth Gordon,Bud Cort,Vivian Pickles,Cyril Cusack
Patton,"Biography, Drama, War",Franklin J. Schaffner,George C. Scott,Karl Malden,Stephen Young,Michael Strong
The Wild Bunch,"Action, Adventure, Western",Sam Peckinpah,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien
Night of the Living Dead,"Horror, Thriller",George A. Romero,Duane Jones,Judith O'Dea,Karl Hardman,Marilyn Eastman
The Lion in Winter,"Biography, Drama, History",Anthony Harvey,Peter O'Toole,Katharine Hepburn,Anthony Hopkins,John Castle
In the Heat of the Night,"Crime, Drama, Mystery",Norman Jewison,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant
Charade,"Comedy, Mystery, Romance",Stanley Donen,Cary Grant,Audrey Hepburn,Walter Matthau,James Coburn
The Manchurian Candidate,"Drama, Thriller",John Frankenheimer,Frank Sinatra,Laurence Harvey,Janet Leigh,Angela Lansbury
Spartacus,"Adventure, Biography, Drama",Stanley Kubrick,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton
L'avventura,"Drama, Mystery",Michelangelo Antonioni,Gabriele Ferzetti,Monica Vitti,Lea Massari,Dominique Blanchar
Hiroshima mon amour,"Drama, Romance",Alain Resnais,Emmanuelle Riva,Eiji Okada,Stella Dassas,Pierre Barbaud
The Ten Commandments,"Adventure, Drama",Cecil B. DeMille,Charlton Heston,Yul Brynner,Anne Baxter,Edward G. Robinson
The Searchers,"Adventure, Drama, Western",John Ford,John Wayne,Jeffrey Hunter,Vera Miles,Ward Bond
East of Eden,Drama,Elia Kazan,James Dean,Raymond Massey,Julie Harris,Burl Ives
High Noon,"Drama, Thriller, Western",Fred Zinnemann,Gary Cooper,Grace Kelly,Thomas Mitchell,Lloyd Bridges
Strangers on a Train,"Crime, Film-Noir, Thriller",Alfred Hitchcock,Farley Granger,Robert Walker,Ruth Roman,Leo G. Carroll
Harvey,"Comedy, Drama, Fantasy",Henry Koster,James Stewart,Wallace Ford,William H. Lynn,Victoria Horne
Miracle on 34th Street,"Comedy, Drama, Family",George Seaton,Edmund Gwenn,Maureen O'Hara,John Payne,Gene Lockhart
Notorious,"Drama, Film-Noir, Romance",Alfred Hitchcock,Cary Grant,Ingrid Bergman,Claude Rains,Louis Calhern
The Big Sleep,"Crime, Film-Noir, Mystery",Howard Hawks,Humphrey Bogart,Lauren Bacall,John Ridgely,Martha Vickers
The Lost Weekend,"Drama, Film-Noir",Billy Wilder,Ray Milland,Jane Wyman,Phillip Terry,Howard Da Silva
The Philadelphia Story,"Comedy, Romance",George Cukor,Cary Grant,Katharine Hepburn,James Stewart,Ruth Hussey
His Girl Friday,"Comedy, Drama, Romance",Howard Hawks,Cary Grant,Rosalind Russell,Ralph Bellamy,Gene Lockhart
The Adventures of Robin Hood,"Action, Adventure, Romance",Michael Curtiz,William Keighley,Errol Flynn,Olivia de Havilland,Basil Rathbone
A Night at the Opera,"Comedy, Music, Musical",Sam Wood,Edmund Goulding,Groucho Marx,Chico Marx,Harpo Marx
King Kong,"Adventure, Horror, Sci-Fi",Merian C. Cooper,Ernest B. Schoedsack,Fay Wray,Robert Armstrong,Bruce Cabot
Freaks,"Drama, Horror",Tod Browning,Wallace Ford,Leila Hyams,Olga Baclanova,Roscoe Ates
Nosferatu,"Fantasy, Horror",F.W. Murnau,Max Schreck,Alexander Granach,Gustav von Wangenheim,Greta Schröder
The Gentlemen,"Action, Comedy, Crime",Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong
Raazi,"Action, Drama, Thriller",Meghna Gulzar,Alia Bhatt,Vicky Kaushal,Rajit Kapoor,Shishir Sharma
Sound of Metal,"Drama, Music",Darius Marder,Riz Ahmed,Olivia Cooke,Paul Raci,Lauren Ridloff
Forushande,Drama,Asghar Farhadi,Shahab Hosseini,Taraneh Alidoosti,Babak Karimi,Mina Sadati
Dunkirk,"Action, Drama, History",Christopher Nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy
Perfetti sconosciuti,"Comedy, Drama",Paolo Genovese,Giuseppe Battiston,Anna Foglietta,Marco Giallini,Edoardo Leo
Hidden Figures,"Biography, Drama, History",Theodore Melfi,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner
Paddington 2,"Adventure, Comedy, Family",Paul King,Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins
Udta Punjab,"Action, Crime, Drama",Abhishek Chaubey,Shahid Kapoor,Alia Bhatt,Kareena Kapoor,Diljit Dosanjh
Kubo and the Two Strings,"Animation, Action, Adventure",Travis Knight,Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes
M.S. Dhoni: The Untold Story,"Biography, Drama, Sport",Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,Disha Patani
Manchester by the Sea,Drama,Kenneth Lonergan,Casey Affleck,Michelle Williams,Kyle Chandler,Lucas Hedges
Under sandet,"Drama, History, War",Martin Zandvliet,Roland Møller,Louis Hofmann,Joel Basman,Mikkel Boe Følsgaard
Rogue One,"Action, Adventure, Sci-Fi",Gareth Edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen
Captain America: Civil War,"Action, Adventure, Sci-Fi",Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson
The Hateful Eight,"Crime, Drama, Mystery",Quentin Tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins
Little Women,"Drama, Romance",Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen
Loving Vincent,"Animation, Biography, Crime",Dorota Kobiela,Hugh Welchman,Douglas Booth,Jerome Flynn,Robert Gulaczyk
Pride,"Biography, Comedy, Drama",Matthew Warchus,Bill Nighy,Imelda Staunton,Dominic West,Paddy Considine
Le passé,"Drama, Mystery",Asghar Farhadi,Bérénice Bejo,Tahar Rahim,Ali Mosaffa,Pauline Burlet
La grande bellezza,Drama,Paolo Sorrentino,Toni Servillo,Carlo Verdone,Sabrina Ferilli,Carlo Buccirosso
The Lunchbox,"Drama, Romance",Ritesh Batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey
Vicky Donor,"Comedy, Romance",Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia
Big Hero 6,"Animation, Action, Adventure",Don Hall,Chris Williams,Ryan Potter,Scott Adsit,Jamie Chung
About Time,"Comedy, Drama, Fantasy",Richard Curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson
English Vinglish,"Comedy, Drama, Family",Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand
Kaze tachinu,"Animation, Biography, Drama",Hayao Miyazaki,Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto,Masahiko Nishimura
Toy Story 4,"Animation, Adventure, Comedy",Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Tony Hale
La migliore offerta,"Crime, Drama, Mystery",Giuseppe Tornatore,Geoffrey Rush,Jim Sturgess,Sylvia Hoeks,Donald Sutherland
Moonrise Kingdom,"Comedy, Drama, Romance",Wes Anderson,Jared Gilman,Kara Hayward,Bruce Willis,Bill Murray
How to Train Your Dragon 2,"Animation, Action, Adventure",Dean DeBlois,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson
The Big Short,"Biography, Comedy, Drama",Adam McKay,Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt
Kokuhaku,"Drama, Thriller",Tetsuya Nakashima,Takako Matsu,Yoshino Kimura,Masaki Okada,Yukito Nishii
Ang-ma-reul bo-at-da,"Action, Crime, Drama",Jee-woon Kim,Lee Byung-Hun,Choi Min-sik,Jeon Gook-Hwan,Ho-jin Chun
The Girl with the Dragon Tattoo,"Crime, Drama, Mystery",David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård
Captain Phillips,"Adventure, Biography, Crime",Paul Greengrass,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener
Ajeossi,"Action, Crime, Drama",Jeong-beom Lee,Won Bin,Sae-ron Kim,Tae-hoon Kim,Hee-won Kim
Straight Outta Compton,"Biography, Drama, History",F. Gary Gray,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.
Madeo,"Crime, Drama, Mystery",Bong Joon Ho,Hye-ja Kim,Won Bin,Jin Goo,Je-mun Yun
Chugyeokja,"Action, Crime, Thriller",Hong-jin Na,Kim Yoon-seok,Jung-woo Ha,Yeong-hie Seo,Yoo-Jeong Kim
The Hobbit: The Desolation of Smaug,"Adventure, Fantasy",Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott
Das weiße Band - Eine deutsche Kindergeschichte,"Drama, History, Mystery",Michael Haneke,Christian Friedel,Ernst Jacobi,Leonie Benesch,Ulrich Tukur
Män som hatar kvinnor,"Crime, Drama, Mystery",Niels Arden Oplev,Michael Nyqvist,Noomi Rapace,Ewa Fröling,Lena Endre
The Trial of the Chicago 7,"Drama, History, Thriller",Aaron Sorkin,Eddie Redmayne,Alex Sharp,Sacha Baron Cohen,Jeremy Strong
Druk,"Comedy, Drama",Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Magnus Millang,Lars Ranthe
The Fighter,"Biography, Drama, Sport",David O. Russell,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo
Taken,"Action, Thriller",Pierre Morel,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser
The Boy in the Striped Pyjamas,"Drama, History, War",Mark Herman,Asa Butterfield,David Thewlis,Rupert Friend,Zac Mattoon O'Brien
Once,"Drama, Music, Romance",John Carney,Glen Hansard,Markéta Irglová,Hugh Walsh,Gerard Hendrick
The Hobbit: An Unexpected Journey,"Adventure, Fantasy",Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis
Auf der anderen Seite,Drama,Fatih Akin,Baki Davrak,Nurgül Yesilçay,Tuncel Kurtiz,Nursel Köse
Atonement,"Drama, Mystery, Romance",Joe Wright,Keira Knightley,James McAvoy,Brenda Blethyn,Saoirse Ronan
Drive,"Crime, Drama",Nicolas Winding Refn,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks
American Gangster,"Biography, Crime, Drama",Ridley Scott,Denzel Washington,Russell Crowe,Chiwetel Ejiofor,Josh Brolin
Avatar,"Action, Adventure, Fantasy",James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez
Mr. Nobody,"Drama, Fantasy, Romance",Jaco Van Dormael,Jared Leto,Sarah Polley,Diane Kruger,Linh Dan Pham
Apocalypto,"Action, Adventure, Drama",Mel Gibson,Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,Rudy Youngblood
Little Miss Sunshine,"Comedy, Drama",Jonathan Dayton,Valerie Faris,Steve Carell,Toni Collette,Greg Kinnear
Hot Fuzz,"Action, Comedy, Mystery",Edgar Wright,Simon Pegg,Nick Frost,Martin Freeman,Bill Nighy
The Curious Case of Benjamin Button,"Drama, Fantasy, Romance",David Fincher,Brad Pitt,Cate Blanchett,Tilda Swinton,Julia Ormond
Veer-Zaara,"Drama, Family, Musical",Yash Chopra,Shah Rukh Khan,Preity Zinta,Rani Mukerji,Kirron Kher
Adams æbler,"Comedy, Crime, Drama",Anders Thomas Jensen,Ulrich Thomsen,Mads Mikkelsen,Nicolas Bro,Paprika Steen
Pride & Prejudice,"Drama, Romance",Joe Wright,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,Donald Sutherland
The World's Fastest Indian,"Biography, Drama, Sport",Roger Donaldson,Anthony Hopkins,Diane Ladd,Iain Rea,Tessa Mitchell
Tôkyô goddofâzâzu,"Animation, Adventure, Comedy",Satoshi Kon,Shôgo Furuya,Tôru Emori,Yoshiaki Umegaki,Aya Okamoto
Serenity,"Action, Adventure, Sci-Fi",Joss Whedon,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,Alan Tudyk
Walk the Line,"Biography, Drama, Music",James Mangold,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,Robert Patrick
Ondskan,Drama,Mikael Håfström,Andreas Wilson,Henrik Lundström,Gustaf Skarsgård,Linda Zilliacus
The Notebook,"Drama, Romance",Nick Cassavetes,Gena Rowlands,James Garner,Rachel McAdams,Ryan Gosling
Diarios de motocicleta,"Adventure, Biography, Drama",Walter Salles,Gael García Bernal,Rodrigo De la Serna,Mía Maestro,Mercedes Morán
Lilja 4-ever,"Crime, Drama",Lukas Moodysson,Oksana Akinshina,Artyom Bogucharskiy,Pavel Ponomaryov,Lyubov Agapova
