Series_Title,Genre,Director,Star1,Star2,Star3,Star4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,Stanley Kubrick,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn
Witness for the Prosecution,"Crime, Drama, Mystery",Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester
Paths of Glory,"Drama, War",Stanley Kubrick,Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready
Rear Window,"Mystery, Thriller",Alfred Hitchcock,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter
Sunset Blvd.,"Drama, Film-Noir",Billy Wilder,William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson
The Great Dictator,"Comedy, Drama, War",Charles Chaplin,Charles Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner
1917,"Drama, Thriller, War",Sam Mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth
Tumbbad,"Drama, Fantasy, Horror",Rahi Anil Barve,Anand Gandhi,Adesh Prasad,Sohum Shah,Jyoti Malshe
Andhadhun,"Crime, Drama, Music",Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan
Drishyam,"Crime, Drama, Thriller",Jeethu Joseph,Mohanlal,Meena,Asha Sharath,Ansiba
Jagten,Drama,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm
Jodaeiye Nader az Simin,Drama,Asghar Farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini
Incendies,"Drama, Mystery, War",Denis Villeneuve,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Mustafa Kamel
Miracle in cell NO.7,Drama,Mehmet Ada Öztekin,Aras Bulut Iynemli,Nisa Sofiya Aksongur,Deniz Baysal,Celile Toyon Uysal
Babam ve Oglum,"Drama, Family",Çagan Irmak,Çetin Tekindor,Fikret Kuskan,Hümeyra,Ege Tanman
Inglourious Basterds,"Adventure, Drama, War",Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth,Mélanie Laurent
Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",Michel Gondry,Jim Carrey,Kate Winslet,Tom Wilkinson,Gerry Robert Byrne
Amélie,"Comedy, Romance",Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,Rufus,Lorella Cravotta
Snatch,"Comedy, Crime",Guy Ritchie,Jason Statham,Brad Pitt,Benicio Del Toro,Dennis Farina
Requiem for a Dream,Drama,Darren Aronofsky,Ellen Burstyn,Jared Leto,Jennifer Connelly,Marlon Wayans
American Beauty,Drama,Sam Mendes,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley
Good Will Hunting,"Drama, Romance",Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård
Bacheha-Ye aseman,"Drama, Family, Sport",Majid Majidi,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Nafise Jafar-Mohammadi
Toy Story,"Animation, Adventure, Comedy",John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Jim Varney
Braveheart,"Biography, Drama, History",Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen
Reservoir Dogs,"Crime, Drama, Thriller",Quentin Tarantino,Harvey Keitel,Tim Roth,Michael Madsen,Chris Penn
Full Metal Jacket,"Drama, War",Stanley Kubrick,Matthew Modine,R. Lee Ermey,Vincent D'Onofrio,Adam Baldwin
Idi i smotri,"Drama, Thriller, War",Elem Klimov,Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius,Vladas Bagdonas
Aliens,"Action, Adventure, Sci-Fi",James Cameron,Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser
Amadeus,"Biography, Drama, History",Milos Forman,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice
Scarface,"Crime, Drama",Brian De Palma,Al Pacino,Michelle Pfeiffer,Steven Bauer,Mary Elizabeth Mastrantonio
Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",Richard Marquand,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams
Das Boot,"Adventure, Drama, Thriller",Wolfgang Petersen,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch
Taxi Driver,"Crime, Drama",Martin Scorsese,Robert De Niro,Jodie Foster,Cybill Shepherd,Albert Brooks
The Sting,"Comedy, Crime, Drama",George Roy Hill,Paul Newman,Robert Redford,Robert Shaw,Charles Durning
A Clockwork Orange,"Crime, Drama, Sci-Fi",Stanley Kubrick,Malcolm McDowell,Patrick Magee,Michael Bates,Warren Clarke
2001: A Space Odyssey,"Adventure, Sci-Fi",Stanley Kubrick,Keir Dullea,Gary Lockwood,William Sylvester,Daniel Richter
Per qualche dollaro in più,Western,Sergio Leone,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè,Mara Krupp
Lawrence of Arabia,"Adventure, Biography, Drama",David Lean,Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins
The Apartment,"Comedy, Drama, Romance",Billy Wilder,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston
North by Northwest,"Adventure, Mystery, Thriller",Alfred Hitchcock,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis
Vertigo,"Mystery, Romance, Thriller",Alfred Hitchcock,James Stewart,Kim Novak,Barbara Bel Geddes,Tom Helmore
Singin' in the Rain,"Comedy, Musical, Romance",Stanley Donen,Gene Kelly,Gene Kelly,Donald O'Connor,Debbie Reynolds
Ikiru,Drama,Akira Kurosawa,Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori,Haruo Tanaka
Ladri di biciclette,Drama,Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Elena Altieri
Double Indemnity,"Crime, Drama, Film-Noir",Billy Wilder,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,Byron Barr
Citizen Kane,"Drama, Mystery",Orson Welles,Orson Welles,Joseph Cotten,Dorothy Comingore,Agnes Moorehead
M - Eine Stadt sucht einen Mörder,"Crime, Mystery, Thriller",Fritz Lang,Peter Lorre,Ellen Widmann,Inge Landgut,Otto Wernicke
Metropolis,"Drama, Sci-Fi",Fritz Lang,Brigitte Helm,Alfred Abel,Gustav Fröhlich,Rudolf Klein-Rogge
The Kid,"Comedy, Drama, Family",Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan,Carl Miller
Chhichhore,"Comedy, Drama",Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,Prateik
Uri: The Surgical Strike,"Action, Drama, War",Aditya Dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam
K.G.F: Chapter 1,"Action, Drama",Prashanth Neel,Yash,Srinidhi Shetty,Ramachandra Raju,Archana Jois
Green Book,"Biography, Comedy, Drama",Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco
"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones
Talvar,"Crime, Drama, Mystery",Meghna Gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi,Sohum Shah
Baahubali 2: The Conclusion,"Action, Drama",S.S. Rajamouli,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia
Klaus,"Animation, Adventure, Comedy",Sergio Pablos,Carlos Martínez López,Jason Schwartzman,J.K. Simmons,Rashida Jones
Drishyam,"Crime, Drama, Mystery",Nishikant Kamat,Ajay Devgn,Shriya Saran,Tabu,Rajat Kapoor
Queen,"Adventure, Comedy, Drama",Vikas Bahl,Kangana Ranaut,Rajkummar Rao,Lisa Haydon,Jeffrey Ho
Mandariinid,"Drama, War",Zaza Urushadze,Lembit Ulfsak,Elmo Nüganen,Giorgi Nakashidze,Misha Meskhi
Bhaag Milkha Bhaag,"Biography, Drama, Sport",Rakeysh Omprakash Mehra,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra,Art Malik
Gangs of Wasseypur,"Action, Comedy, Crime",Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia
Udaan,Drama,Vikramaditya Motwane,Rajat Barmecha,Ronit Roy,Manjot Singh,Ram Kapoor
Paan Singh Tomar,"Action, Biography, Crime",Tigmanshu Dhulia,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya
El secreto de sus ojos,"Drama, Mystery, Romance",Juan José Campanella,Ricardo Darín,Soledad Villamil,Pablo Rago,Carla Quevedo
Warrior,"Action, Drama, Sport",Gavin O'Connor,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison
Shutter Island,"Mystery, Thriller",Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley
Up,"Animation, Adventure, Comedy",Pete Docter,Bob Peterson,Edward Asner,Jordan Nagai,John Ratzenberger
The Wolf of Wall Street,"Biography, Crime, Drama",Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey
Chak De! India,"Drama, Family, Sport",Shimit Amin,Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,Shilpa Shukla
There Will Be Blood,Drama,Paul Thomas Anderson,Daniel Day-Lewis,Paul Dano,Ciarán Hinds,Martin Stringer
Pan's Labyrinth,"Drama, Fantasy, War",Guillermo del Toro,Ivana Baquero,Ariadna Gil,Sergi López,Maribel Verdú
Toy Story 3,"Animation, Adventure, Comedy",Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty
V for Vendetta,"Action, Drama, Sci-Fi",James McTeigue,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea
Rang De Basanti,"Comedy, Crime, Drama",Rakeysh Omprakash Mehra,Aamir Khan,Soha Ali Khan,Siddharth,Sharman Joshi
Black,Drama,Sanjay Leela Bhansali,Amitabh Bachchan,Rani Mukerji,Shernaz Patel,Ayesha Kapoor
Batman Begins,"Action, Adventure",Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson
"Swades: We, the People",Drama,Ashutosh Gowariker,Shah Rukh Khan,Gayatri Joshi,Kishori Ballal,Smit Sheth
Der Untergang,"Biography, Drama, History",Oliver Hirschbiegel,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes,Juliane Köhler
Hauru no ugoku shiro,"Animation, Adventure, Family",Hayao Miyazaki,Chieko Baishô,Takuya Kimura,Tatsuya Gashûin,Akihiro Miwa
A Beautiful Mind,"Biography, Drama",Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer
Hera Pheri,"Action, Comedy, Crime",Priyadarshan,Akshay Kumar,Sunil Shetty,Paresh Rawal,Tabu
"Lock, Stock and Two Smoking Barrels","Action, Comedy, Crime",Guy Ritchie,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham
L.A. Confidential,"Crime, Drama, Mystery",Curtis Hanson,Kevin Spacey,Russell Crowe,Guy Pearce,Kim Basinger
Eskiya,"Crime, Drama, Thriller",Yavuz Turgul,Sener Sen,Ugur Yücel,Sermin Hürmeriç,Yesim Salkim
Heat,"Crime, Drama, Thriller",Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight
Casino,"Crime, Drama",Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,James Woods
Andaz Apna Apna,"Action, Comedy, Romance",Rajkumar Santoshi,Aamir Khan,Salman Khan,Raveena Tandon,Karisma Kapoor
Unforgiven,"Drama, Western",Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris
Indiana Jones and the Last Crusade,"Action, Adventure",Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott
Dom za vesanje,"Comedy, Crime, Drama",Emir Kusturica,Davor Dujmovic,Bora Todorovic,Ljubica Adzovic,Husnija Hasimovic
Tonari no Totoro,"Animation, Family, Fantasy",Hayao Miyazaki,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,Shigesato Itoi
Die Hard,"Action, Thriller",John McTiernan,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson
Ran,"Action, Drama, War",Akira Kurosawa,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû
Raging Bull,"Biography, Drama, Sport",Martin Scorsese,Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent
Stalker,"Drama, Sci-Fi",Andrei Tarkovsky,Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Nikolay Grinko
Höstsonaten,"Drama, Music",Ingmar Bergman,Ingrid Bergman,Liv Ullmann,Lena Nyman,Halvar Björk
The Message,"Biography, Drama, History",Moustapha Akkad,Anthony Quinn,Irene Papas,Michael Ansara,Johnny Sekka
Sholay,"Action, Adventure, Comedy",Ramesh Sippy,Sanjeev Kumar,Dharmendra,Amitabh Bachchan,Amjad Khan
Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy",Terry Gilliam,Terry Jones,Graham Chapman,John Cleese,Eric Idle
The Great Escape,"Adventure, Drama, History",John Sturges,Steve McQueen,James Garner,Richard Attenborough,Charles Bronson
To Kill a Mockingbird,"Crime, Drama",Robert Mulligan,Gregory Peck,John Megna,Frank Overton,Rosemary Murphy
Yôjinbô,"Action, Drama, Thriller",Akira Kurosawa,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa
Judgment at Nuremberg,"Drama, War",Stanley Kramer,Spencer Tracy,Burt Lancaster,Richard Widmark,Marlene Dietrich
Some Like It Hot,"Comedy, Music, Romance",Billy Wilder,Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft
Smultronstället,"Drama, Romance",Ingmar Bergman,Victor Sjöström,Bibi Andersson,Ingrid Thulin,Gunnar Björnstrand
Det sjunde inseglet,"Drama, Fantasy, History",Ingmar Bergman,Max von Sydow,Gunnar Björnstrand,Bengt Ekerot,Nils Poppe
Du rififi chez les hommes,"Crime, Drama, Thriller",Jules Dassin,Jean Servais,Carl Möhner,Robert Manuel,Janine Darcey
Dial M for Murder,"Crime, Thriller",Alfred Hitchcock,Ray Milland,Grace Kelly,Robert Cummings,John Williams
Tôkyô monogatari,Drama,Yasujirô Ozu,Chishû Ryû,Chieko Higashiyama,Sô Yamamura,Setsuko Hara
Rashômon,"Crime, Drama, Mystery",Akira Kurosawa,Toshirô Mifune,Machiko Kyô,Masayuki Mori,Takashi Shimura
All About Eve,Drama,Joseph L. Mankiewicz,Bette Davis,Anne Baxter,George Sanders,Celeste Holm
The Treasure of the Sierra Madre,"Adventure, Drama, Western",John Huston,Humphrey Bogart,Walter Huston,Tim Holt,Bruce Bennett
To Be or Not to Be,"Comedy, War",Ernst Lubitsch,Carole Lombard,Jack Benny,Robert Stack,Felix Bressart
The Gold Rush,"Adventure, Comedy, Drama",Charles Chaplin,Charles Chaplin,Mack Swain,Tom Murray,Henry Bergman
Sherlock Jr.,"Action, Comedy, Romance",Buster Keaton,Buster Keaton,Kathryn McGuire,Joe Keaton,Erwin Connelly
Portrait de la jeune fille en feu,"Drama, Romance",Céline Sciamma,Noémie Merlant,Adèle Haenel,Luàna Bajrami,Valeria Golino
Pink,"Drama, Thriller",Aniruddha Roy Chowdhury,Taapsee Pannu,Amitabh Bachchan,Kirti Kulhari,Andrea Tariang
Koe no katachi,"Animation, Drama, Family",Naoko Yamada,Miyu Irino,Saori Hayami,Aoi Yûki,Kenshô Ono
Contratiempo,"Crime, Drama, Mystery",Oriol Paulo,Mario Casas,Ana Wagener,Jose Coronado,Bárbara Lennie
Ah-ga-ssi,"Drama, Romance, Thriller",Chan-wook Park,Kim Min-hee,Jung-woo Ha,Cho Jin-woong,Moon So-Ri
Mommy,Drama,Xavier Dolan,Anne Dorval,Antoine Olivier Pilon,Suzanne Clément,Patrick Huard
Haider,"Action, Crime, Drama",Vishal Bhardwaj,Shahid Kapoor,Tabu,Shraddha Kapoor,Kay Kay Menon
Logan,"Action, Drama, Sci-Fi",James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook
Room,"Drama, Thriller",Lenny Abrahamson,Brie Larson,Jacob Tremblay,Sean Bridgers,Wendy Crewson
Relatos salvajes,"Comedy, Drama, Thriller",Damián Szifron,Darío Grandinetti,María Marull,Mónica Villa,Diego Starosta
Soul,"Animation, Adventure, Comedy",Pete Docter,Kemp Powers,Jamie Foxx,Tina Fey,Graham Norton
Kis Uykusu,Drama,Nuri Bilge Ceylan,Haluk Bilginer,Melisa Sözen,Demet Akbag,Ayberk Pekcan
PK,"Comedy, Drama, Musical",Rajkumar Hirani,Aamir Khan,Anushka Sharma,Sanjay Dutt,Boman Irani
OMG: Oh My God!,"Comedy, Drama, Fantasy",Umesh Shukla,Paresh Rawal,Akshay Kumar,Mithun Chakraborty,Mahesh Manjrekar
The Grand Budapest Hotel,"Adventure, Comedy, Crime",Wes Anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody
Gone Girl,"Drama, Mystery, Thriller",David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry
Ôkami kodomo no Ame to Yuki,"Animation, Drama, Fantasy",Mamoru Hosoda,Aoi Miyazaki,Takao Osawa,Haru Kuroki,Yukito Nishii
